Need ID,Skillset ID,Start Time,End Time,Allowable Positive Deviation,Allowable Negative Deviation,Room,Predecessors,Project
201,C,8:00,8:30,0:30,0:30,C,,C
202,D,18:30,19:00,0:30,0:30,C,,C
203,A,8:00,9:00,0:30,0:30,B,,B
204,D,8:30,9:15,0:30,0:30,A,205,A
205,C,9:00,9:30,0:30,0:30,A,,A
206,E,9:00,9:45,0:30,0:30,B,207,B
207,D,9:30,10:15,0:30,0:30,B,208,B
208,E,10:00,10:30,0:30,0:30,B,,B
209,E,10:00,10:45,0:30,0:30,C,,C
210,A,11:00,11:30,0:30,0:30,C,209,C
211,B,11:00,11:30,0:30,0:30,C,,C
212,D,10:30,11:30,0:30,0:30,B,,B
213,A,11:30,12:15,0:30,0:30,A,,A
214,B,12:00,12:30,0:30,0:30,B,,B
215,E,12:00,12:30,0:30,0:30,C,,C
216,E,12:30,13:15,0:30,0:30,B,,B
217,B,13:00,13:30,0:30,0:30,B,,B
218,E,12:30,14:00,0:30,0:30,C,,C
219,B,13:30,14:15,0:30,0:30,A,220,A
220,A,13:30,14:15,0:30,0:30,A,,A
221,C,14:00,14:30,0:30,0:30,C,,C
222,A,14:00,15:00,0:30,0:30,B,,B
223,C,15:30,16:15,0:30,0:30,C,,C
224,F,15:30,16:30,0:30,0:30,B,,B
225,F,15:00,16:30,0:30,0:30,B,,B
226,D,16:00,16:30,0:30,0:30,A,,A
227,B,17:00,18:00,0:30,0:30,B,,B
228,E,16:30,18:00,0:30,0:30,B,,B
229,D,17:30,18:00,0:30,0:30,A,,A
230,A,18:00,18:30,0:30,0:30,A,,A
